School Name,District Name (School),County Name (School)
Alamo Elementary (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
Alamo Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Alamo Elementary (Vacaville Unified),Vacaville Unified,Solano
Alamos Elementary (Temecula Valley Unified),Temecula Valley Unified,Riverside
Alamosa Park Elementary (Vista Unified),Vista Unified,San Diego
ALBA (San Diego Unified),San Diego Unified,San Diego
Albany High (Albany City Unified),Albany City Unified,Alameda
Albany Middle (Albany City Unified),Albany City Unified,Alameda
Albany Park Elementary (Delano Union Elementary),Delano Union Elementary,Kern
Albert A. Michelson Elementary (Vallecito Union),Vallecito Union,Calaveras
Albert Baxter Elementary (Bellflower Unified),Bellflower Unified,Los Angeles
Albert Einstein Academy Charter Middle (San Diego Unified),San Diego Unified,San Diego
Albert Einstein Academy Elementary (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,Los Angeles
"Albert Einstein Academy for Letters, Arts & Sciences - Aqua Dulce Partnership Ac (Acton-Agua Dulce Unified)",Acton-Agua Dulce Unified,Los Angeles
"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey (Acton-Agua Dulce Unified)",Acton-Agua Dulce Unified,Los Angeles
"Albert Einstein Academy for Letters, Arts and Sciences (William S. Hart Union High)",William S. Hart Union High,Los Angeles
"Albert Einstein Academy for Letters, Arts and Sciences-STEAM (Acton-Agua Dulce Unified)",Acton-Agua Dulce Unified,Los Angeles
Albert Einstein Continuation (Los Angeles Unified),Los Angeles Unified,Los Angeles
Albert Einstein Middle (Sacramento City Unified),Sacramento City Unified,Sacramento
Albert F. Biella Elementary (Santa Rosa Elementary),Santa Rosa Elementary,Sonoma
Albert Powell Continuation (Yuba City Unified),Yuba City Unified,Sutter
Albert Schweitzer Elementary (Magnolia Elementary),Magnolia Elementary,Orange
Albert Schweitzer Elementary (San Juan Unified),San Juan Unified,Sacramento
Alberta Martone Elementary (Modesto City Elementary),Modesto City Elementary,Stanislaus
Albion Elementary (Mendocino Unified),Mendocino Unified,Mendocino
Albion Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alcott Elementary (Riverside Unified),Riverside Unified,Riverside
Alcott Elementary (Pomona Unified),Pomona Unified,Los Angeles
Alcott Elementary (San Diego Unified),San Diego Unified,San Diego
Aldama Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alder Creek Middle (Tahoe-Truckee Unified),Tahoe-Truckee Unified,Placer
Alder Grove Charter (South Bay Union Elementary),South Bay Union Elementary,Humboldt
Alder Middle (Fontana Unified),Fontana Unified,San Bernardino
Alderwood Elementary (Irvine Unified),Irvine Unified,Orange
Alessandro (Moreno Valley Unified),Moreno Valley Unified,Riverside
Alessandro High (Hemet Unified),Hemet Unified,Riverside
Alexander Fleming Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alexander Hamilton Elementary (Stockton Unified),Stockton Unified,San Joaquin
Alexander Hamilton Senior High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alexander Rose Elementary (Milpitas Unified),Milpitas Unified,Santa Clara
Alexander Valley Elementary (Alexander Valley Union Elementary),Alexander Valley Union Elementary,Sonoma
Alexandria Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alfred B. Nobel Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alfred S. Madrid Middle (Mountain View Elementary),Mountain View Elementary,Los Angeles
Alhambra High (Alhambra Unified),Alhambra Unified,Los Angeles
Alhambra Senior High (Martinez Unified),Martinez Unified,Contra Costa
Alianza Charter (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Alicante Avenue Elementary (Lamont Elementary),Lamont Elementary,Kern
Alice Birney Elementary (Colton Joint Unified),Colton Joint Unified,San Bernardino
Alice Birney Elementary (Eureka City Schools),Eureka City Schools,Humboldt
Alice Birney Waldorf-Inspired (Sacramento City Unified),Sacramento City Unified,Sacramento
Alice C. Stelle Middle (Las Virgenes Unified),Las Virgenes Unified,Los Angeles
Alice M. Birney Elementary (El Rancho Unified),El Rancho Unified,Los Angeles
Alice M. Ellington Elementary (Azusa Unified),Azusa Unified,Los Angeles
Alice N. Stroud Elementary (Empire Union Elementary),Empire Union Elementary,Stanislaus
Alice Shaw Elementary (Orcutt Union Elementary),Orcutt Union Elementary,Santa Barbara
Alicia Cortez Elementary (Chino Valley Unified),Chino Valley Unified,San Bernardino
Alicia Reyes Elementary (Merced City Elementary),Merced City Elementary,Merced
Alila (Earlimart Elementary),Earlimart Elementary,Tulare
Alisal Community (Alisal Union),Alisal Union,Monterey
Alisal Elementary (Pleasanton Unified),Pleasanton Unified,Alameda
Alisal High (Salinas Union High),Salinas Union High,Monterey
Aliso Elementary (Carpinteria Unified),Carpinteria Unified,Santa Barbara
Aliso Niguel High (Capistrano Unified),Capistrano Unified,Orange
Aliso Viejo Middle (Capistrano Unified),Capistrano Unified,Orange
All Tribes Charter (Warner Unified),Warner Unified,San Diego
All Tribes Elementary Charter (Warner Unified),Warner Unified,San Diego
Allan Orrenmaa Elementary (Alvord Unified),Alvord Unified,Riverside
Allan Peterson Elementary (Merced City Elementary),Merced City Elementary,Merced
Allen (Decima M.) Elementary (San Bruno Park Elementary),San Bruno Park Elementary,San Mateo
Allen (Ella B.) Elementary (Chula Vista Elementary),Chula Vista Elementary,San Diego
Allen at Steinbeck (San Jose Unified),San Jose Unified,Santa Clara
Allen Avenue Elementary (Bonita Unified),Bonita Unified,Los Angeles
Allendale Elementary (Oakland Unified),Oakland Unified,Alameda
Allensworth Elementary (Allensworth Elementary),Allensworth Elementary,Tulare
Allesandro Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance 6-12 College-Ready Academy #21 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Academy (Oakland Unified),Oakland Unified,Alameda
Alliance Alice M. Baxter College-Ready High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Cindy and Bill Simon Technology Academy High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance College-Ready Academy High 16 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance College-Ready Middle Academy 10 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance College-Ready Middle Academy 12 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance College-Ready Middle Academy 4 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance College-Ready Middle Academy 5 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance College-Ready Middle Academy 7 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance College-Ready Middle Academy 8 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Collins Family College-Ready High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Dr. Olga Mohan High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Health Services Academy High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Jack H. Skirball Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Judy Ivie Burton Technology Academy High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Kory Hunter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Leichtman-Levine Family Foundation Environmental Science High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Marc & Eva Stern Math and Science (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Margaret M. Bloomfield Technology Academy High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Morgan McKinzie High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Ouchi-O'Donovan 6-12 Complex (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Patti And Peter Neuwirth Leadership Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Renee and Meyer Luskin Academy High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Susan and Eric Smidt Technology High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alliance Tennenbaum Family Technology High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Allison Elementary (Pomona Unified),Pomona Unified,Los Angeles
Almaden Elementary (San Jose Unified),San Jose Unified,Santa Clara
Almanor High (Continuation) (Plumas Unified),Plumas Unified,Plumas
Almeria Middle (Fontana Unified),Fontana Unified,San Bernardino
Almond Acres Charter Academy (San Miguel Joint Union),San Miguel Joint Union,San Luis Obispo
Almond Elementary (Fontana Unified),Fontana Unified,San Bernardino
Almond Elementary (Los Altos Elementary),Los Altos Elementary,Santa Clara
Almond Grove Elementary (Oakley Union Elementary),Oakley Union Elementary,Contra Costa
Almond Tree Middle (Delano Union Elementary),Delano Union Elementary,Kern
Almondale Elementary (Rosedale Union Elementary),Rosedale Union Elementary,Kern
Aloha Elementary (ABC Unified),ABC Unified,Los Angeles
Alondra Middle (Paramount Unified),Paramount Unified,Los Angeles
Alpaugh Elementary (Alpaugh Unified),Alpaugh Unified,Tulare
Alpaugh Junior-Senior High (Alpaugh Unified),Alpaugh Unified,Tulare
Alpha Charter (Elverta Joint Elementary),Elverta Joint Elementary,Sacramento
Alpha Cindy Avitia High (East Side Union High),East Side Union High,Santa Clara
Alpha Elementary (Madera Unified),Madera Unified,Madera
Alpha Technology Middle (Elverta Joint Elementary),Elverta Joint Elementary,Sacramento
Alpha: Blanca Alvarado Middle (Alum Rock Union Elementary),Alum Rock Union Elementary,Santa Clara
Alpha: Jose Hernandez Middle (Santa Clara County Office of Education),Santa Clara County Office of Education,Santa Clara
Alphonso B. Perez Special Education Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alpine Community Day (Alpine Union Elementary),Alpine Union Elementary,San Diego
Alpine County Opportunity (Alpine County Office of Education),Alpine County Office of Education,Alpine
Alpine County Secondary Community Day (Alpine County Unified),Alpine County Unified,Alpine
Alpine Elementary (Keppel Union Elementary),Keppel Union Elementary,Los Angeles
Alpine Elementary (Alpine Union Elementary),Alpine Union Elementary,San Diego
Alpine Vista (Tulare City),Tulare City,Tulare
Alps View High (Continuation) (Trinity Alps Unified),Trinity Alps Unified,Trinity
Alta California Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alta Elementary (Kings Canyon Joint Unified),Kings Canyon Joint Unified,Fresno
Alta Heights Elementary (Napa Valley Unified),Napa Valley Unified,Napa
Alta Loma Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Alta Loma Elementary (Alta Loma Elementary),Alta Loma Elementary,San Bernardino
Alta Loma High (Chaffey Joint Union High),Chaffey Joint Union High,San Bernardino
Alta Loma Junior High (Alta Loma Elementary),Alta Loma Elementary,San Bernardino
Alta Loma Middle (South San Francisco Unified),South San Francisco Unified,San Mateo
Alta Mesa Elementary (Enterprise Elementary),Enterprise Elementary,Shasta
Alta Murrieta Elementary (Murrieta Valley Unified),Murrieta Valley Unified,Riverside
Alta Sierra Elementary (Pleasant Ridge Union Elementary),Pleasant Ridge Union Elementary,Nevada
Alta Sierra Intermediate (Clovis Unified),Clovis Unified,Fresno
Alta Vista Academy (Sweetwater Union High),Sweetwater Union High,San Diego
Alta Vista Alternative High (Santa Barbara Unified),Santa Barbara Unified,Santa Barbara
Alta Vista Alternative Junior High (Santa Barbara Unified),Santa Barbara Unified,Santa Barbara
Alta Vista Community Charter (Auburn Union Elementary),Auburn Union Elementary,Placer
Alta Vista Elementary (Union Elementary),Union Elementary,Santa Clara
Alta Vista Elementary (Alta Vista Elementary),Alta Vista Elementary,Tulare
Alta Vista Elementary (Redondo Beach Unified),Redondo Beach Unified,Los Angeles
Alta Vista High (Mountain View-Los Altos Union High),Mountain View-Los Altos Union High,Santa Clara
Alta Vista High (Continuation) (Vista Unified),Vista Unified,San Diego
Alta Vista Public (Adelanto Elementary),Adelanto Elementary,San Bernardino
Alta Vista South Public Charter (Helendale Elementary),Helendale Elementary,San Bernardino
Alta-Dutch Flat Elementary (Alta-Dutch Flat Union Elementary),Alta-Dutch Flat Union Elementary,Placer
Altadena Elementary (Pasadena Unified),Pasadena Unified,Los Angeles
Altamont Creek Elementary (Livermore Valley Joint Unified),Livermore Valley Joint Unified,Alameda
Altamont Elementary (Lammersville Joint Unified),Lammersville Joint Unified,San Joaquin
Alternative Cooperative Education Charter (Vacaville Unified),Vacaville Unified,Solano
Alternative Education-San Joaquin High (Irvine Unified),Irvine Unified,Orange
Alternative Family Education (Santa Cruz City High),Santa Cruz City High,Santa Cruz
Alternative Learning Academy at Conley-Caraballo High (New Haven Unified),New Haven Unified,Alameda
Alternative Learning Center (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Alternative Opportunity Programs (Los Angeles County Office of Education),Los Angeles County Office of Education,Los Angeles
Alternatives in Action (Alameda Unified),Alameda Unified,Alameda
Altimira Middle (Sonoma Valley Unified),Sonoma Valley Unified,Sonoma
Alturas Community Day (Modoc Joint Unified),Modoc Joint Unified,Modoc
Alturas Elementary (Modoc Joint Unified),Modoc Joint Unified,Modoc
Alvarado Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Alvarado Elementary (New Haven Unified),New Haven Unified,Alameda
Alvarado Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Alvarado Intermediate (Rowland Unified),Rowland Unified,Los Angeles
Alvarado Middle (New Haven Unified),New Haven Unified,Alameda
Alview Elementary (Alview-Dairyland Union Elementary),Alview-Dairyland Union Elementary,Madera
Alvin Elementary (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Alvin M. Dunn Elementary (San Marcos Unified),San Marcos Unified,San Diego
Alvin S. Hatch Elementary (Cabrillo Unified),Cabrillo Unified,San Mateo
Alvina Elementary Charter (Alvina Elementary),Alvina Elementary,Fresno
Alvord Alternative Continuation High (Alvord Unified),Alvord Unified,Riverside
Alvord Continuation High (Alvord Unified),Alvord Unified,Riverside
Amador County Special Education (Amador County Office of Education),Amador County Office of Education,Amador
Amador High (Amador County Unified),Amador County Unified,Amador
Amador Valley High (Pleasanton Unified),Pleasanton Unified,Alameda
Amanecer Primary Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Amargosa Creek Middle (Lancaster Elementary),Lancaster Elementary,Los Angeles
Ambassador Phillip V. Sanchez Public Charter (Raisin City Elementary),Raisin City Elementary,Fresno
Ambler Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Amelia Earhart Continuation (Los Angeles Unified),Los Angeles Unified,Los Angeles
Amelia Earhart Elementary (Alameda Unified),Alameda Unified,Alameda
Amelia Earhart Elementary School of International Studies (Desert Sands Unified),Desert Sands Unified,Riverside
Amelia Earhart Middle (Riverside Unified),Riverside Unified,Riverside
America's Finest Charter (San Diego Unified),San Diego Unified,San Diego
American Canyon High (Napa Valley Unified),Napa Valley Unified,Napa
American Canyon Middle (Napa Valley Unified),Napa Valley Unified,Napa
American Elementary (Rosedale Union Elementary),Rosedale Union Elementary,Kern
American High (Fremont Unified),Fremont Unified,Alameda
American Indian Public Charter (Oakland Unified),Oakland Unified,Alameda
American Indian Public Charter School II (Oakland Unified),Oakland Unified,Alameda
American Indian Public High (Oakland Unified),Oakland Unified,Alameda
American Lakes Elementary (Natomas Unified),Natomas Unified,Sacramento
American Legion High (Continuation) (Sacramento City Unified),Sacramento City Unified,Sacramento
American River Charter (Black Oak Mine Unified),Black Oak Mine Unified,El Dorado
American Union Elementary (Washington Unified),Washington Unified,Fresno
Amesti Elementary (Pajaro Valley Unified),Pajaro Valley Unified,Santa Cruz
Amestoy Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Amistad High (Continuation) (Desert Sands Unified),Desert Sands Unified,Riverside
Amy B. Seibert Elementary (Panama-Buena Vista Union),Panama-Buena Vista Union,Kern
Anacapa Middle (Ventura Unified),Ventura Unified,Ventura
Anaheim High (Anaheim Union High),Anaheim Union High,Orange
Anaheim Hills Elementary (Orange Unified),Orange Unified,Orange
Anahuacalmecac International University Preparatory High School of North America (SBE - Anahuacalmecac International Preparatory High School of North America),SBE - Anahuacalmecac International Preparatory High School of North America,Los Angeles
Analy High (West Sonoma County Union High),West Sonoma County Union High,Sonoma
Anatola Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Anaverde Hills (Westside Union Elementary),Westside Union Elementary,Los Angeles
Andasol Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Anderson (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Anderson (Alex) Elementary (Oak Grove Elementary),Oak Grove Elementary,Santa Clara
Anderson (Linford L.) Elementary (Dixon Unified),Dixon Unified,Solano
Anderson Community Day (Anderson Union High),Anderson Union High,Shasta
Anderson Community Day Transition (Anderson Union High),Anderson Union High,Shasta
Anderson Elementary (Compton Unified),Compton Unified,Los Angeles
Anderson Elementary (Westminster),Westminster,Orange
Anderson Heights Elementary (Cascade Union Elementary),Cascade Union Elementary,Shasta
Anderson High (Anderson Union High),Anderson Union High,Shasta
Anderson Middle (Cascade Union Elementary),Cascade Union Elementary,Shasta
Anderson New Technology High (Anderson Union High),Anderson Union High,Shasta
Anderson Valley Elementary (Anderson Valley Unified),Anderson Valley Unified,Mendocino
Anderson Valley Junior-Senior High (Anderson Valley Unified),Anderson Valley Unified,Mendocino
Anderson W. Clark Magnet High (Glendale Unified),Glendale Unified,Los Angeles
Andres and Maria Cardenas Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Andres Duarte Elementary (Duarte Unified),Duarte Unified,Los Angeles
Andrew Carnegie Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
